"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","1943 Kai: Midway Kaisen","Easy","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",1989.0,"2019-04-09","https://www.youtube.com/watch?v=2ghYZ1yDVwM","Played on a TurboGrafx16 with TBED."
"","1943 Kai: Midway Kaisen","Easy","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",1983.0,"2019-04-21","https://www.youtube.com/watch?v=Xb8wAZG_BcA","Played on a TG-16 with a TBED during Retrothon 2019 on RetroGamingLiveTV."
"","Hyper V-Ball","Hyper%","","","Super Nintendo","USA / NTSC","baldnate",243.56,"2019-09-05","https://www.youtube.com/watch?v=5loYQ-m-HgQ","Played on an SNS-001 with SD2SNES."
"","Hyper V-Ball","Women%","","","Super Nintendo","USA / NTSC","baldnate",244.74,"2019-09-05","https://www.youtube.com/watch?v=ELjQqO7t6e0","Played on an SNS-001 with SD2SNES. "
"","Space Invaders (Atari 5200)","1 Loop","Game 1","","Atari 5200","USA / NTSC","baldnate",242.0,"2019-06-23","https://www.youtube.com/watch?v=0JiyK1iiNXY","Played on kat5200."
"","Space Invaders (Atari 5200)","5,200 points","Game 1","","Atari 5200","USA / NTSC","baldnate",388.0,"2019-06-23","https://www.youtube.com/watch?v=X4LTz1kMq3E","Played on kat5200."
"","Aighina no Yogen: From the Legend of Balubalouk","Any% NES/FC","","","Nintendo Entertainment System","JPN / NTSC","baldnate",6400.0,"2019-06-10","https://www.youtube.com/watch?v=M-3RRZTNu2Q","Played on a front-loader with an EDN8.    Time adjusted as I started my timer too early."
"","Xenophobe","Max Score (NES)","","","Nintendo Entertainment System","USA / NTSC","baldnate",3100.0,"2019-07-10","https://www.youtube.com/watch?v=Z7erCfLxs7U","Played on a front-loader with an EDN8."
"","Zero Wing","Any% - EASY","","","Sega Genesis","","baldnate",2330.0,"2019-08-31","https://www.youtube.com/watch?v=jNWSy9IX988","Played on a Genesis v2 with MED x5.    I'd like to get no-miss, but this is a start."
"","Metroid Category Extensions (NES)","Crash%","","","Nintendo Entertainment System","USA / NTSC","baldnate",31.067,"2020-10-19","https://youtu.be/5WCg-ZV53bU","Played on a front-loader with EDN8."
"","Wheel of Fortune (N64)","Win a Game","","Easy","Nintendo 64","USA / NTSC","baldnate",414.0,"2019-12-11","https://www.youtube.com/watch?v=nyt78h7Mp3Q","Played on an N64 with ED64.      SPECIAL THANKS TO  ALF THE DESTRUCTOR"
"","Wheel of Fortune (N64)","Win a Game","","Easy","Nintendo 64","USA / NTSC","baldnate",363.0,"2020-10-18","https://youtu.be/8X4BdlaqcrA","Played on original hardware with ED64."
"","Ishido: The Way of the Stones","1 Win (GB)","","","Super Game Boy 2","USA / NTSC","baldnate",288.0,"2019-09-04","https://www.youtube.com/watch?v=Gh6VzGbEJco","Played on an SNS-001 with Super Gameboy 2 and EDGB x7.    Started timing when pressing start on Solitaire.  Ended timing when the tile placement cursor disappears after the final tile is placed."
"","Wheel of Fortune (SegaCD)","Any%","","","Sega CD","USA / NTSC","baldnate",1168.0,"2019-12-03","https://www.youtube.com/watch?v=nexYXYi7usk","Played on a Genesis v2 with a Mega SD.    Mod Note: I've marked the run as emulator, because the Mega SD appears be hardware emulation inside of a cartridge. Run subject to removal if determined game, including load times, emulates incorrectly."
"","Wheel of Fortune (SegaCD)","Cpu%","","","Sega CD","USA / NTSC","baldnate",1168.0,"2019-12-03","https://www.youtube.com/watch?v=nexYXYi7usk","Played on a Genesis v2 with a Mega SD.    Mod Note: I've marked the run as emulator, because the Mega SD appears be hardware emulation inside of a cartridge. Run subject to removal if determined game, including load times, emulates incorrectly."
"","John Elway's Quarterback","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",738.0,"2018-12-16","https://youtu.be/wLlggvp__dA","Played on a front-loader with the original cart.  Best enjoyed with Yakety Sax playing in the background.  Field visible: 00:00.91  End of Game visible: 12:19.66"
"","John Elway's Quarterback","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",633.0,"2018-12-16","https://youtu.be/T1dz3wvpowE","Played on a front-loader with original cart.     Field appears at 0.92  End of Game appears at 10:34.32"
"","Magical Chase","Breeze","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",626.0,"2019-01-01","https://www.youtube.com/watch?v=C01Kbx-kQNE","Played on a TG-16 with a TBED."
"","Magical Chase","Bumpy","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",2360.0,"2019-01-01","https://www.youtube.com/watch?v=XbU7HmD_UB0","Played on a TG-16 with a TBED."
"","Magical Chase","Breeze","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",616.0,"2019-01-02","https://www.youtube.com/watch?v=iXwG9wedclk","Played on a TG-16 with a TBED."
"","Magical Chase","Bumpy","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",1589.0,"2019-01-02","https://www.youtube.com/watch?v=Izy_QPjrYi8","Played on a TG-16 with a TBED."
"","Magical Chase","Bumpy","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",1553.0,"2019-01-03","https://www.youtube.com/watch?v=eAV3Wb75xUg","Played on a TG-16 with a TBED."
"","Portal for the C64","Beat The Game","Full Game","","Web","","baldnate",161.0,"2020-11-29","https://youtu.be/oNrscN8jtmM","Played on archive.org's web-VICE emulator."
"","Venture","All Unique Treasures","Skill 1","","ColecoVision","","baldnate",155.35,"2021-05-12","https://youtu.be/_WSDnqu44Vk","Played on MiSTer.    Entered time was based on frame count, though frame counting is tricky with non-visual timing cues - please correct if I was off on my markers."
"","Venture","All Unique Treasures","Skill 1","","ColecoVision","","baldnate",154.417,"2021-05-13","https://youtu.be/xPgDq4UAouo","Played on MiSTer."
"","SimCity (NES)","Any%","Capital","112 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",434.0,"2020-10-21","https://youtu.be/iGg9IaDdwEk","Played on a front-loader with an EDN8."
"","SimCity (NES)","Any%","City","123 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",142.0,"2020-11-07","https://www.youtube.com/watch?v=0p4dMbXYpZ0","Played on a front-loader with an EDN8.    [Mod note]: 2:22."
"","SimCity (NES)","Any%","Town","100 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",67.0,"2020-11-07","https://youtu.be/SygD8uMZNzE","Played on a front-loader with an EDN8.    [Mod note]: Frame count: 1:07.334. "
"","SimCity (NES)","Any%","Capital","100 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",373.0,"2020-11-05","https://youtu.be/00cec5RA1zc","Played on a front-loader with an EDN8.    [Mod note]: 6:13.434."
"","SimCity (NES)","Any%","Metropolis","100 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",2986.0,"2020-11-08","https://youtu.be/vpcbbDflJAA","Played on a front-loader with an EDN8.    [Mod note]: 49:46.050."
"","SimCity (NES)","Any%","City","100 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",119.0,"2020-11-12","https://youtu.be/IqNYuqgu8js","Played on a front-loader with EDN8.    [Mod note]: 1:59.400."
"","General Chaos","Any%","","","Sega Genesis","USA / NTSC","baldnate",482.0,"2019-01-26","https://www.youtube.com/watch?v=iaYfu4u605A","Played on a Genesis v2 with an original cart."
"","General Chaos","Any%","","","Sega Genesis","USA / NTSC","baldnate",408.0,"2020-09-11","https://youtu.be/rhTG0zAfoDE","Played on a Genesis v2 with original cart."
"","Warlords 2","Any% Knight (Easy)","Normal","50.000 -- Orange","MS-DOS","","baldnate",2168.0,"2020-08-23","https://www.youtube.com/watch?v=Q3NUI7bfRv8","Played on DOSBox at 50000 cycles."
"","Warlords 2","100% Knight Easy","Normal","Max -- Black","MS-DOS","","baldnate",1255.0,"2020-08-10","https://youtu.be/Js-4EVUWZw8","None"
"","Magical Chase GB","Easy (らくらく)","","BizHawk","Game Boy Color","JPN / NTSC","baldnate",1701.0,"2019-03-26","https://www.youtube.com/watch?v=N6wcX30cSaY","Played on BizHawk 2.30, Gambatte core."
"","Wimbledon Championship Tennis","Singles Match","Genesis","","Sega Genesis","USA / NTSC","baldnate",220.0,"2019-07-05","https://www.youtube.com/watch?v=4vK49BVXjSU","Played on a Genesis v2 with original cart.    Player appears - 2.52  Match won by appears - 3:43.50    Run duration - 3:40.02"
"","Golf Grand Slam","Tournament Any%","","","Nintendo Entertainment System","","baldnate",928.0,"2021-06-14","https://youtu.be/AJ9HgPQOgyQ","Played on a front-loader with EDN8.  Japanese version."
"","Golf Grand Slam","Tournament Any%","","","Nintendo Entertainment System","","baldnate",890.0,"2021-06-14","https://youtu.be/SIHXiFivwEw","Played on a front-loader with EDN8.  Japanese version."
"","Devil's Crush","TG16","5 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",175.0,"2020-04-11","https://www.youtube.com/watch?v=agj_D99gftI","Played on a TG-16 with a TBED."
"","Devil's Crush","TG16","10 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",218.0,"2020-04-11","https://www.youtube.com/watch?v=23q9Yfo8K9g","Played on a TG-16 with a TBED."
"","Devil's Crush","TG16","5 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",223.0,"2020-04-10","https://www.youtube.com/watch?v=h_1b6sdfTuw","Played on a TG-16 with TBED."
"","Devil's Crush","TG16","10 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",597.0,"2020-04-10","https://www.youtube.com/watch?v=oapa_L5xPbs","Played on a TG-16 with TBED."
"","Devil's Crush","TG16","25 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",606.0,"2020-04-10","https://www.youtube.com/watch?v=oapa_L5xPbs","Played on a TG-16 with TBED."
"","Devil's Crush","Genesis","10 Million Points","","Sega Genesis","USA / NTSC","baldnate",110.0,"2020-04-15","https://www.youtube.com/watch?v=hQERKwXr2zM","Played on a Genesis v2 with a MegaSD."
"","Devil's Crush","Genesis","5 Million Points","","Sega Genesis","USA / NTSC","baldnate",65.0,"2020-04-15","https://www.youtube.com/watch?v=kWaAI0bryLU","Played on a Genesis v2 with a MegaSD."
"","Devil's Crush","Genesis","25 Million Points","","Sega Genesis","USA / NTSC","baldnate",324.0,"2020-04-16","https://www.youtube.com/watch?v=MC5g57RpGFA","Played on a Genesis v2 with a MegaSD."
"","Devil's Crush","Genesis","10 Million Points","","Sega Genesis","USA / NTSC","baldnate",100.534,"2020-04-16","https://www.youtube.com/watch?v=E4qpgTEUfEA","Played on a Genesis v2 with a MegaSD.      Frame counted at 1:40.567    MOD: Time Corrected and GG!"
"","Devil's Crush","Genesis","5 Million Points","","Sega Genesis","USA / NTSC","baldnate",58.0,"2020-04-16","https://www.youtube.com/watch?v=pcIcyiPkZQg","Played on a Genesis v2 with a MegaSD.      Frame counted at 58.950    MOD: Time correct 58.933 and GG! :)"
"","Devil's Crush","TG16","5 Million Points","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",120.966,"2020-10-24","https://youtu.be/lhmeYppSTss","Played on a TG-16 with TBED."
"","Devil's Crush","TG16","5 Million Points","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",85.0,"2020-12-11","https://youtu.be/WjwEB3Dz_pM","Played on a TG-16 with TBED."
"","Devil's Crush","TG16","10 Million Points","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",173.0,"2020-12-10","https://www.youtube.com/watch?v=kgvUbnctBt8","Played on a TG-16 with TBED."
"","Devil's Crush","Genesis","5 Million Points","","Sega Genesis","USA / NTSC","baldnate",48.0,"2020-04-17","https://youtu.be/ga3f0sZHows","Played on a Genesis v2 with MegaSD."
"","Alien Crush","5 Million Points","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",235.0,"2020-03-22","https://www.youtube.com/watch?v=Z4OkdsXHi8s","Played on a TG-16 with a TBED."
"","Alien Crush","5 Million Points","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",224.0,"2020-03-24","https://www.youtube.com/watch?v=MAYTpj1PiWE","Played on a TG-16 with a TBED."
"","Alien Crush","5 Million Points","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",219.0,"2020-03-26","https://www.youtube.com/watch?v=jO5ajcMm7hQ","Played on a TG-16 with an TBED.    Frame counted at 3:39.983"
"","King of the Monsters 2 (Genesis)","Beat The Game","","","Sega Genesis","USA / NTSC","baldnate",1600.0,"2019-05-05","https://www.youtube.com/watch?v=t6SIWqc7aFM","Played on a Genesis v2 on a MED x5."
"","King of the Monsters 2 (Genesis)","Beat The Game","","","Sega Genesis","USA / NTSC","baldnate",1204.0,"2019-05-07","https://www.youtube.com/watch?v=rQIBsK30tWE","Played on a Genesis v2 with an original cart."
"","King of the Monsters 2 (Genesis)","Beat The Game","","","Sega Genesis","USA / NTSC","baldnate",1149.0,"2019-05-31","https://www.youtube.com/watch?v=4FzwDxU3uMo","Played on a Genesis v2 with an original cart. "
"","Magical Drop F: Daibouken Mo Rakujyanai","Easy","","","PlayStation","JPN / NTSC","baldnate",110.0,"2019-05-26","https://www.youtube.com/watch?v=Y6inWDp7OBI","None"
"","Magical Drop F: Daibouken Mo Rakujyanai","Normal","","","PlayStation","JPN / NTSC","baldnate",307.0,"2019-05-26","https://www.youtube.com/watch?v=HV0SUJ0tj4I","None"
"","Power Golf","Stroke Play","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",911.767,"2020-03-26","https://www.youtube.com/watch?v=uXHM1Pnyw8g","Played on a TG-16 with TBED.    Frame counted at 15:11.767  "
"","Power Golf","Stroke Play","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",885.0,"2020-03-27","https://www.youtube.com/watch?v=ch9e-bpj7jw","Played on a TG-16 with a TBED."
"","Power Golf","Stroke Play","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",756.0,"2020-03-27","https://www.youtube.com/watch?v=kijBxXSTltI","Played on a TG-16 with a TBED."
"","Power Golf","Stroke Play","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",724.0,"2020-03-29","https://www.youtube.com/watch?v=j_YGzaOIb6E","Played on a TG-16 with a TBED.    Almost there..."
"","Power Golf","Stroke Play","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",721.0,"2020-04-04","https://www.youtube.com/watch?v=H7H-r-KrrBI","Played on a TG-16 with TBED"
"","Jaki Crush","10 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",554.0,"2020-04-05","https://www.youtube.com/watch?v=yqUdx0lTu50","Played on an SNS-001 with SD2SNES."
"","Jaki Crush","5 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",549.0,"2020-04-05","https://www.youtube.com/watch?v=yqUdx0lTu50","Played on an SNS-001 with SD2SNES."
"","Jaki Crush","5 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",503.0,"2020-04-07","https://www.youtube.com/watch?v=OnsYYFIlhE8","Played on an SNS-001 with an SD2SNES."
"","Jaki Crush","5 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",271.0,"2020-04-08","https://www.youtube.com/watch?v=4aKQmLmB1Eo","Played on an SNS-001 with an SD2SNES."
"","Jaki Crush","10 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",331.0,"2020-04-08","https://www.youtube.com/watch?v=VliFFr37Ubs","Played on an SNS-001 with an SD2SNES."
"","Jaki Crush","25 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",2587.0,"2020-04-08","https://youtu.be/etkwQnNTsVQ","Played on an SNS-001 with an SD2SNES.    So many failed bonus stages NotLikeThis"
"","Jaki Crush","25 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",1688.0,"2020-04-10","https://www.youtube.com/watch?v=yzGffKS_LSU","Played on an SNS-001 with an SD2SNES."
"","The Incredible Machine","Beat The Game","","","MS-DOS","USA / NTSC","baldnate",6437.0,"2019-10-12","https://www.youtube.com/watch?v=IZdLGP4gfzA","Not great, but it's a start."
"","Krazy Ivan","Any%","","","PlayStation","USA / NTSC","baldnate",1927.0,"2020-09-09","https://www.youtube.com/watch?v=M9vjvIT6iNA","Played on a SCPH-1001."
"","Krazy Ivan","Any%","","","PlayStation","USA / NTSC","baldnate",1653.0,"2020-09-10","https://www.youtube.com/watch?v=7bD8uW08EGM&feature=youtu.be","Played on a SCPH-1001."
"","Krazy Ivan","Any%","","","PlayStation","USA / NTSC","baldnate",1364.0,"2020-09-29","https://youtu.be/qRJ4oXeNb6I","Played on a SCPH-1001."
"","Tonight We Riot","Any%","","","PC","USA / NTSC","baldnate",170.0,"2021-06-12","https://youtu.be/kah0X7nCenA","Played using the itch.io release with mouse and keyboard.  Uses 1-2 pigeon warp."
