"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","Wai Wai World 2: SOS!! Parsley Jou","Beat the game","","","Nintendo Entertainment System","JPN / NTSC","baldnate",2487.0,"2018-04-07","https://www.youtube.com/watch?v=Wgkf_rUS10w","KONAMI DANCE"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",715.0,"2018-10-15","https://www.youtube.com/watch?v=LY-trN61DzE","it's a start"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",606.0,"2018-10-15","https://www.youtube.com/watch?v=-wlpfwxBXXY","not deathless yet"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",584.0,"2018-10-15","https://www.youtube.com/watch?v=RRawrGtEYE4","None"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",579.0,"2018-10-16","https://www.youtube.com/watch?v=uUIGmmfdrjU","None"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",570.0,"2018-10-17","https://www.youtube.com/watch?v=qzle5JTE9N8","None"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",568.0,"2018-10-21","https://www.youtube.com/watch?v=23Q8Y9surd8","None"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",561.0,"2018-10-21","https://www.youtube.com/watch?v=x2XeH3Wl3yM","None"
"","Ninja Spirit (TG-16)","Any% Sword + Clones","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",949.0,"2019-03-04","https://www.youtube.com/watch?v=KGzxAnG6LpM","Played on a TurboGrafx16 with TBED."
"","Ninja Spirit (TG-16)","Any% Sword + Clones","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",776.0,"2019-03-05","https://www.youtube.com/watch?v=IfkdkkYekOA","Played on a TG-16 with a TBED."
"","Ninja Spirit (TG-16)","Any% Sword + Clones","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",728.0,"2019-03-06","https://www.youtube.com/watch?v=qmO9dOCfJAc","Played on a TurboGrafx16 with TBED."
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",555.0,"2019-03-09","https://www.youtube.com/watch?v=w4B-m0RAWZg","Played on a TurboGrafx16 with TBED."
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",541.0,"2019-04-19","https://www.youtube.com/watch?v=PQFw0psxyh0","Played on a TurboGrafx16 with TBED.    (Retimed according to new timing rules on July 6th, 2019 by baldnate.)"
"","Ninja Spirit (TG-16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",539.0,"2019-08-11","https://www.youtube.com/watch?v=OX3MKCaS_ww","Played on a TurboGrafx-16 with TBED.    Featuring BBQ thermometer beeping during stage 6.    Retimed with avidemux: 8:59.816  "
"","Championship Pool (NES)","Three Ball","","","Nintendo Entertainment System","USA / NTSC","baldnate",80.0,"2019-10-26","https://www.youtube.com/watch?v=XQpORr_HOeY","Played on a front-loader with EDN8."
"","Kids On Site","Doug%","","","Sega CD","USA / NTSC","baldnate",389.0,"2020-08-08","https://youtu.be/8CmaHPwytD0","Played on a Genesis v2 with MegaSD.    Played with Doug DeCinces, Doug Funnie, Doug Bradley, Doug E. Fresh, Douglas MacArthur, Doug Furnas, and Doug B. Ware."
"","NBA Jam","Single Game Victory","SNES","","Super Nintendo","USA / NTSC","baldnate",380.6,"2019-02-26","https://www.youtube.com/watch?v=lsxdEcU3tuM","Played on a SNS-001 with an original cart.    Start time: .06  End time: 6:20.66  Total Run Time: 6:20.60"
"","Titenic","Any%","","","Nintendo Entertainment System","","baldnate",300.0,"2018-01-27","https://www.twitch.tv/videos/223080698","Yay, flat 5!"
"","Jeopardy! Sports Edition (SNES)","CPU%","","","Super Nintendo","","baldnate",2040.0,"2020-09-13","https://youtu.be/SnOwYEcvIZU","Played on an SNS-001 with SD2SNES."
"","Jeopardy! Sports Edition (SNES)","CPU%","","","Super Nintendo","","baldnate",2026.0,"2020-09-15","https://youtu.be/SPC-rNyIcl0","Played on an SNS-001 with an SD2SNES."
"","Dragonfire","1000 Points","","","Atari 2600","","baldnate",20.03,"2019-06-22","https://www.youtube.com/watch?v=NCXZfw-nk6A","None"
"","Dragonfire","5000 Points","","","Atari 2600","","baldnate",64.36,"2019-06-22","https://www.youtube.com/watch?v=8ZtU5KowCfk","None"
"","Wheel of Fortune (1987)","Any%","New 3rd Edition","","Commodore 64","USA / NTSC","baldnate",232.0,"2019-12-20","https://www.youtube.com/watch?v=OMUPfxAtVBw","Played using New Third Edition on VICE."
